CAMPUS,camp.name,dist.name,county,camp.street,camp.city,camp.zip,low.gd,high.gd,region,aea,charter,magnet,peg,all.stud,black.pct,amer.ind.pct,asian.pct,hisp.pct,pac.isld.pct,two.race.pct,white.pct,ecodis.pct,mobility.pct,r.all.cnt,m.all.cnt,r.notmeet.pct,r.approaches.pct,r.meets.pct,r.masters.pct,m.notmeet.pct,m.approaches.pct,m.meets.pct,m.masters.pct,sat.act.part.rate,avg.sat.total.score,avg.act.total.score,ap.ib.part.rate,ap.ib.above.criterion.rate,nceread,ncemath,avg.growth,eng1.all.cnt.2,eng1.meets.cnt.2,eng2.all.cnt.2,eng2.meets.cnt.2,alg1.all.cnt.2,alg1.meets.cnt.2,w.avg,stud.ach.grade,residuals,camp.perf.score,camp.perf.grade,growth.grade,elem.total.score.33.33.33,state.rank.33.33.33,total.grade.33.33.33,region.rank
15910136,HARDY OAK EL,NORTH EAST ISD,BEXAR COUNTY,22900 HARDY OAK BLVD,SAN ANTONIO,78258-3914,KG,5,20,N,N,NO,N,765,2.222222222,0.261437908,10.71895425,35.94771242,0,3.267973856,47.58169935,7.581699346,5,426,426,7.276995305,92.72300469,78.16901408,57.27699531,4.694835681,95.30516432,80.98591549,57.51173709,NA,NA,NA,NA,NA,59.63508224,59.16843414,59.40175819,NA,NA,NA,NA,NA,NA,79.57746479,A,6.798884203,86.37634899,A,A,75.04340547,108,A+,1
46902112,HOFFMANN LANE EL,COMAL ISD,COMAL COUNTY,1404 IH 35 N,NEW BRAUNFELS,78130-3240,KG,5,20,N,N,NO,N,723,0.968188105,0.276625173,1.521438451,16.3208852,0,2.489626556,78.42323651,4.426002766,6,385,385,2.597402597,97.4025974,81.2987013,58.18181818,3.116883117,96.88311688,79.48051948,51.68831169,NA,NA,NA,NA,NA,59.51030731,54.64890671,57.07960701,NA,NA,NA,NA,NA,NA,80.38961039,A,4.982625459,85.37223585,A,A,74.20620393,122,A+,2
15910143,WILDERNESS OAK EL,NORTH EAST ISD,BEXAR COUNTY,21019 WILDERNESS OAK,SAN ANTONIO,78258-2633,KG,5,20,N,N,NO,N,640,5.15625,0,8.59375,40,0.15625,4.0625,42.03125,13.4375,6.1,375,376,6.933333333,93.06666667,76,51.46666667,4.521276596,95.4787234,78.9893617,55.05319149,NA,NA,NA,NA,NA,55.85146332,56.93677139,56.39411736,NA,NA,NA,NA,NA,NA,77.49468085,A,9.331387381,86.82606823,A,A,73.49805052,139,A+,3
15916106,CRESTVIEW EL,JUDSON ISD,BEXAR COUNTY,7710 NARROW PASS,SAN ANTONIO,78233-2999,EE,5,20,N,N,NO,N,620,7.580645161,0.161290323,0.806451613,67.25806452,0.322580645,3.709677419,20.16129032,61.61290323,14,285,287,8.421052632,91.57894737,63.15789474,38.59649123,2.43902439,96.16724739,70.03484321,40.76655052,NA,NA,NA,NA,NA,52.8898735,60.04398346,56.46692848,NA,NA,NA,NA,NA,NA,66.59636897,A,24.76170408,91.35807305,A,A,71.40231638,195,A,4
15915181,BLATTMAN EL,NORTHSIDE ISD,BEXAR COUNTY,3300 N LOOP 1604 W,SAN ANTONIO,78231,EE,5,20,N,N,NO,N,531,1.694915254,0,10.73446328,30.32015066,0.188323917,3.389830508,53.67231638,6.214689266,9,257,258,6.225680934,93.77431907,75.87548638,56.42023346,6.589147287,93.41085271,77.90697674,54.65116279,NA,NA,NA,NA,NA,56.31412125,58.05102539,57.18257332,NA,NA,NA,NA,NA,NA,76.89123156,A,2.986241994,79.87747356,A,A,71.24577572,203,A,5
15910139,ROAN FOREST EL,NORTH EAST ISD,BEXAR COUNTY,22710 ROAN PARK,SAN ANTONIO,78259-2682,EE,5,20,N,N,NO,N,815,3.067484663,0,14.96932515,54.84662577,0.122699387,3.435582822,23.55828221,29.32515337,9.5,374,374,12.03208556,87.96791444,71.92513369,49.46524064,7.486631016,92.51336898,72.19251337,49.19786096,NA,NA,NA,NA,NA,54.70524216,54.81093216,54.75808716,NA,NA,NA,NA,NA,NA,72.05882353,A,14.66219039,86.72101392,A,B,71.10812889,208,A,6
46902114,TIMBERWOOD PARK EL,COMAL ISD,COMAL COUNTY,1404 IH 35 N,NEW BRAUNFELS,78130-3240,EE,5,20,N,N,NO,N,662,2.265861027,0.453172205,0.755287009,36.40483384,0,3.172205438,56.94864048,9.667673716,5.1,310,310,4.516129032,95.48387097,75.16129032,51.61290323,4.516129032,95.48387097,74.19354839,44.51612903,NA,NA,NA,NA,NA,58.92250061,54.38219833,56.65234947,NA,NA,NA,NA,NA,NA,74.67741935,A,3.581867286,78.25928664,A,A,69.79315547,252,A,7
15915152,LEON SPRINGS EL,NORTHSIDE ISD,BEXAR COUNTY,23881 IH 10 W,SAN ANTONIO,78257-1157,EE,5,20,N,N,NO,N,463,3.023758099,0,4.103671706,47.08423326,0.215982721,2.375809935,43.19654428,14.03887689,14.9,226,227,9.734513274,90.26548673,72.56637168,50,8.370044053,91.62995595,68.28193833,39.64757709,NA,NA,NA,NA,NA,60.83753204,64.42217255,62.6298523,NA,NA,NA,NA,NA,NA,70.424155,A,2.715644682,73.13979969,A,A,68.66253773,284,A,8
46902101,RAHE BULVERDE EL,COMAL ISD,COMAL COUNTY,1404 IH 35 N,NEW BRAUNFELS,78130-3240,KG,5,20,N,N,NO,N,397,1.259445844,0,0.251889169,36.77581864,0,2.518891688,59.19395466,17.63224181,7.7,207,207,7.729468599,92.2705314,70.04830918,43.96135266,8.212560386,91.78743961,72.9468599,45.41062802,NA,NA,NA,NA,NA,54.37185669,58.59744263,56.48464966,NA,NA,NA,NA,NA,NA,71.49758454,A,6.432353568,77.92993811,A,A,68.56875338,286,A,9
15910129,ENCINO PARK EL,NORTH EAST ISD,BEXAR COUNTY,2550 ENCINO RIO,SAN ANTONIO,78259-2031,EE,5,20,N,N,NO,N,600,2.666666667,0.666666667,3.666666667,34,0.166666667,5,53.83333333,14.5,9,310,310,6.774193548,93.22580645,72.25806452,50.32258065,5.806451613,94.19354839,74.51612903,51.61290323,NA,NA,NA,NA,NA,53.07541656,50.19940948,51.63741302,NA,NA,NA,NA,NA,NA,73.38709677,A,6.024890625,79.4119874,A,C,68.07735357,301,A-,10
